"Philosopher","Influenced_By"
"http://dbpedia.org/resource/A._C._Ewing","http://dbpedia.org/resource/Brand_Blanshard"
"http://dbpedia.org/resource/A._D._Gordon","http://dbpedia.org/resource/Leo_Tolstoy"
"http://dbpedia.org/resource/A._D._Gordon","http://dbpedia.org/resource/Judaism"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Walter_Benjamin"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Alexandre_Kojève"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Edmund_Husserl"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Plato"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Jacques_Derrida"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Jacques_Lacan"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Vladimir_Solovyov_(philosopher)"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Boris_Groys","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Mohammad_Baba_As-Samasi","http://dbpedia.org/resource/Ali_Ramitani"
