"Philosopher","Influenced"
"http://dbpedia.org/resource/A._D._Gordon","http://dbpedia.org/resource/Rachel_Bluwstein"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Peter_Abelard"
"http://dbpedia.org/resource/Mohammad_Baba_As-Samasi","http://dbpedia.org/resource/Amir_Kulal"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Edmund_Burke"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Politics_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Constitution_of_the_United_States"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/David_Hume"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Amable_Guillaume_Prosper_Brugière,_baron_de_Barante"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean-Jacques_Rousseau"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Charles_Léonard_de_Sismondi"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Paine"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Feliks_Koneczny"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Albert_Einstein"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Vienna_Circle"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Susan_Stebbing"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Herbert_Feigl"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Albert_Blumberg"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Kurt_Gödel"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Gustav_Bergmann"
"http://dbpedia.org/resource/Morris_Janowitz","http://dbpedia.org/resource/John_Allen_Williams"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","http://dbpedia.org/resource/Ernest_Nagel"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","http://dbpedia.org/resource/Sidney_Hook"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/John_Deely"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Peter_Kreeft"
"http://dbpedia.org/resource/Mou_Zongsan","http://dbpedia.org/resource/Liu_Shu-hsien"
"http://dbpedia.org/resource/Mozi","http://dbpedia.org/resource/Eastern_philosophy"
"http://dbpedia.org/resource/Mozi","http://dbpedia.org/resource/Zhuang_Zhou"
"http://dbpedia.org/resource/Mozi","http://dbpedia.org/resource/Chinese_Buddhism"
"http://dbpedia.org/resource/Mozi","http://dbpedia.org/resource/School_of_Names"
"http://dbpedia.org/resource/Mozi","http://dbpedia.org/resource/Taoism"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Muhammad_Ali_Jinnah"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Muhammad_Asad"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Muhammad_Ishaq_Madni"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Ale_Ahmad_Suroor"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Ali_Shariati"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Abul_A'la_Maududi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Dewan_Mohammad_Azraf"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Pakistan_Movement"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Annemarie_Schimmel"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Jawad_Naqvi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Khushwant_Singh"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Israr_Ahmed"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Faiz_Ahmad_Faiz"
