"Philosopher","Influenced_By","Influenced"
"http://dbpedia.org/resource/A._D._Gordon","http://dbpedia.org/resource/Leo_Tolstoy","http://dbpedia.org/resource/Rachel_Bluwstein"
"http://dbpedia.org/resource/A._D._Gordon","http://dbpedia.org/resource/Judaism","http://dbpedia.org/resource/Rachel_Bluwstein"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper","http://dbpedia.org/resource/R._M._Hare"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper","http://dbpedia.org/resource/P._F._Strawson"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper","http://dbpedia.org/resource/Mihailo_Marković"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper","http://dbpedia.org/resource/Peter_Unger"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Vienna_Circle","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Ludwig_Wittgenstein","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/David_Hume","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Bertrand_Russell","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Voltaire","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Immanuel_Kant","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/A._J._Ayer","http://dbpedia.org/resource/Karl_Popper","http://dbpedia.org/resource/Ted_Honderich"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Albertus_Magnus"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Anselm_of_Canterbury"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plotinus","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Medieval_philosophy"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","http://dbpedia.org/resource/Peter_Abelard"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Proclus","http://dbpedia.org/resource/Peter_Abelard"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Seneca_the_Younger","http://dbpedia.org/resource/Peter_Abelard"
"http://dbpedia.org/resource/Boethius","http://dbpedia.org/resource/Plato","http://dbpedia.org/resource/Peter_Abelard"
