item,itemLabel,article
http://www.wikidata.org/entity/Q151403,Thomas Carlyle,https://en.wikipedia.org/wiki/Thomas_Carlyle
http://www.wikidata.org/entity/Q71855,Georg Bernhard Bilfinger,https://en.wikipedia.org/wiki/Georg_Bernhard_Bilfinger
http://www.wikidata.org/entity/Q71911,Dietrich Georg von Kieser,https://en.wikipedia.org/wiki/Dietrich_Georg_von_Kieser
http://www.wikidata.org/entity/Q72086,Narziß Ach,https://en.wikipedia.org/wiki/Narzi%C3%9F_Ach
http://www.wikidata.org/entity/Q72100,Georg Klaus,https://en.wikipedia.org/wiki/Georg_Klaus
http://www.wikidata.org/entity/Q73356,Robert Todd Carroll,https://en.wikipedia.org/wiki/Robert_Todd_Carroll
http://www.wikidata.org/entity/Q73527,Arcesilaus,https://en.wikipedia.org/wiki/Arcesilaus
http://www.wikidata.org/entity/Q65861,Erich Adickes,https://en.wikipedia.org/wiki/Erich_Adickes
http://www.wikidata.org/entity/Q66732,Eugen Rosenstock-Huessy,https://en.wikipedia.org/wiki/Eugen_Rosenstock-Huessy
http://www.wikidata.org/entity/Q67007,Thomas Metzinger,https://en.wikipedia.org/wiki/Thomas_Metzinger
http://www.wikidata.org/entity/Q67306,Otto Friedrich Bollnow,https://en.wikipedia.org/wiki/Otto_Friedrich_Bollnow
http://www.wikidata.org/entity/Q68550,Grete Hermann,https://en.wikipedia.org/wiki/Grete_Hermann
http://www.wikidata.org/entity/Q69547,Friedrich Ludewig Bouterwek,https://en.wikipedia.org/wiki/Friedrich_Bouterwek
http://www.wikidata.org/entity/Q70867,Kurt Riezler,https://en.wikipedia.org/wiki/Kurt_Riezler
http://www.wikidata.org/entity/Q71442,Johann Jakob Engel,https://en.wikipedia.org/wiki/Johann_Jakob_Engel
http://www.wikidata.org/entity/Q152824,Susan Sontag,https://en.wikipedia.org/wiki/Susan_Sontag
http://www.wikidata.org/entity/Q151523,György Lukács,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Luk%C3%A1cs
http://www.wikidata.org/entity/Q152388,Theodor W. Adorno,https://en.wikipedia.org/wiki/Theodor_W._Adorno
http://www.wikidata.org/entity/Q220313,Gemistus Pletho,https://en.wikipedia.org/wiki/Gemistos_Plethon
http://www.wikidata.org/entity/Q220976,Thomas à Kempis,https://en.wikipedia.org/wiki/Thomas_%C3%A0_Kempis
http://www.wikidata.org/entity/Q168004,Friedrich Heinrich Jacobi,https://en.wikipedia.org/wiki/Friedrich_Heinrich_Jacobi
http://www.wikidata.org/entity/Q233711,Melissus of Samos,https://en.wikipedia.org/wiki/Melissus_of_Samos
http://www.wikidata.org/entity/Q234898,A. C. Bhaktivedanta Swami Prabhupada,https://en.wikipedia.org/wiki/A._C._Bhaktivedanta_Swami_Prabhupada
http://www.wikidata.org/entity/Q318254,Poggio Bracciolini,https://en.wikipedia.org/wiki/Poggio_Bracciolini
http://www.wikidata.org/entity/Q318580,Pierre d'Ailly,https://en.wikipedia.org/wiki/Pierre_d%27Ailly
http://www.wikidata.org/entity/Q318787,Pietro Pomponazzi,https://en.wikipedia.org/wiki/Pietro_Pomponazzi
http://www.wikidata.org/entity/Q319186,Jerry Fodor,https://en.wikipedia.org/wiki/Jerry_Fodor
http://www.wikidata.org/entity/Q319329,Wang Chong,https://en.wikipedia.org/wiki/Wang_Chong
http://www.wikidata.org/entity/Q319704,Stein Rokkan,https://en.wikipedia.org/wiki/Stein_Rokkan
