ph_url,ph_name,dup_test_col1,dup_test_col2
http://dbpedia.org/resource/Abd-Allah_ibn_Ibadh,Abd-Allah_ibn_Ibadh,Abd-Allah_,Abd-Allah_ibn
http://dbpedia.org/resource/Abd-Allah_ibn_Numayr,Abd-Allah_ibn_Numayr,Abd-Allah_,Abd-Allah_ibn
http://dbpedia.org/resource/Algernon_Sidney,Algernon_Sidney,Algernon_S,Algernon_Sidney
http://dbpedia.org/resource/Algernon_Sidney__Algernon_Sidney__1,Algernon_Sidney__Algernon_Sidney__1,Algernon_S,Algernon_Sidney
http://dbpedia.org/resource/Allan_Bloom,Allan_Bloom,Allan_Bloo,Allan_Bloom
http://dbpedia.org/resource/Allan_Bloom__Allan_Bloom__1,Allan_Bloom__Allan_Bloom__1,Allan_Bloo,Allan_Bloom
http://dbpedia.org/resource/August_Wilhelm_Rehberg,August_Wilhelm_Rehberg,August_Wil,August_Wilhelm
http://dbpedia.org/resource/August_Wilhelm_Schlegel,August_Wilhelm_Schlegel,August_Wil,August_Wilhelm
http://dbpedia.org/resource/Bryan_Reynolds,Bryan_Reynolds,Bryan_Reyn,Bryan_Reynolds
http://dbpedia.org/resource/Bryan_Reynolds_(scholar),Bryan_Reynolds_(scholar),Bryan_Reyn,Bryan_Reynolds
http://dbpedia.org/resource/Daniel_O._Dahlstrom,Daniel_O._Dahlstrom,Daniel_O._,Daniel_O.
http://dbpedia.org/resource/Daniel_O._Nathan,Daniel_O._Nathan,Daniel_O._,Daniel_O.
http://dbpedia.org/resource/Diogenes_of_Apollonia,Diogenes_of_Apollonia,Diogenes_o,Diogenes_of
http://dbpedia.org/resource/Diogenes_of_Sinope,Diogenes_of_Sinope,Diogenes_o,Diogenes_of
http://dbpedia.org/resource/Duns_Scotus,Duns_Scotus,Duns_Scotu,Duns_Scotus
http://dbpedia.org/resource/Duns_Scotus__John_Duns_Scotus__1,Duns_Scotus__John_Duns_Scotus__1,Duns_Scotu,Duns_Scotus
http://dbpedia.org/resource/Ernest_Nagel,Ernest_Nagel,Ernest_Nag,Ernest_Nagel
http://dbpedia.org/resource/Ernest_Nagel__Ernest_Nagel__1,Ernest_Nagel__Ernest_Nagel__1,Ernest_Nag,Ernest_Nagel
http://dbpedia.org/resource/Ernst_Mally,Ernst_Mally,Ernst_Mall,Ernst_Mally
http://dbpedia.org/resource/Ernst_Mally__Ernst_Mally__1,Ernst_Mally__Ernst_Mally__1,Ernst_Mall,Ernst_Mally
http://dbpedia.org/resource/Euclid_of_Megara,Euclid_of_Megara,Euclid_of_,Euclid_of
http://dbpedia.org/resource/Euclid_of_Megara__Euclid_of_Megara__1,Euclid_of_Megara__Euclid_of_Megara__1,Euclid_of_,Euclid_of
http://dbpedia.org/resource/Fazlur_Rahman_Faridi,Fazlur_Rahman_Faridi,Fazlur_Rah,Fazlur_Rahman
http://dbpedia.org/resource/Fazlur_Rahman_Malik,Fazlur_Rahman_Malik,Fazlur_Rah,Fazlur_Rahman
http://dbpedia.org/resource/Gareth_Evans_(philosopher),Gareth_Evans_(philosopher),Gareth_Eva,Gareth_Evans
http://dbpedia.org/resource/Gareth_Evans_(philosopher)__Gareth_Evans__1,Gareth_Evans_(philosopher)__Gareth_Evans__1,Gareth_Eva,Gareth_Evans
http://dbpedia.org/resource/George_Boole,George_Boole,George_Boo,George_Boole
http://dbpedia.org/resource/George_Boole__George_Boole__1,George_Boole__George_Boole__1,George_Boo,George_Boole
http://dbpedia.org/resource/George_Boolos,George_Boolos,George_Boo,George_Boolos
http://dbpedia.org/resource/George_Boolos__George_Boolos__1,George_Boolos__George_Boolos__1,George_Boo,George_Boolos
http://dbpedia.org/resource/Giordano_Bruno,Giordano_Bruno,Giordano_B,Giordano_Bruno
http://dbpedia.org/resource/Giordano_Bruno__Giordano_Bruno__1,Giordano_Bruno__Giordano_Bruno__1,Giordano_B,Giordano_Bruno
http://dbpedia.org/resource/Gottlob_Frege,Gottlob_Frege,Gottlob_Fr,Gottlob_Frege
http://dbpedia.org/resource/Gottlob_Frege__Gottlob_Frege__1,Gottlob_Frege__Gottlob_Frege__1,Gottlob_Fr,Gottlob_Frege
http://dbpedia.org/resource/Johann_Christoph_Adelung,Johann_Christoph_Adelung,Johann_Chr,Johann_Christoph
http://dbpedia.org/resource/Johann_Christoph_Gottsched,Johann_Christoph_Gottsched,Johann_Chr,Johann_Christoph
http://dbpedia.org/resource/Johann_Gottfried_Herder,Johann_Gottfried_Herder,Johann_Got,Johann_Gottfried
http://dbpedia.org/resource/Johann_Gottfried_Teske,Johann_Gottfried_Teske,Johann_Got,Johann_Gottfried
http://dbpedia.org/resource/John_Anderson_(philosopher),John_Anderson_(philosopher),John_Ander,John_Anderson
http://dbpedia.org/resource/John_Anderson_Palmer,John_Anderson_Palmer,John_Ander,John_Anderson
http://dbpedia.org/resource/John_Foster_(paleontologist),John_Foster_(paleontologist),John_Foste,John_Foster
http://dbpedia.org/resource/John_Foster_(philosopher),John_Foster_(philosopher),John_Foste,John_Foster
http://dbpedia.org/resource/John_Scotus_Eriugena,John_Scotus_Eriugena,John_Scotu,John_Scotus
http://dbpedia.org/resource/John_Scotus_Eriugena__John_Scotus_Eriugena__1,John_Scotus_Eriugena__John_Scotus_Eriugena__1,John_Scotu,John_Scotus
http://dbpedia.org/resource/John_Searle,John_Searle,John_Searl,John_Searle
http://dbpedia.org/resource/John_Searle__John_Rogers_Searle__1,John_Searle__John_Rogers_Searle__1,John_Searl,John_Searle
http://dbpedia.org/resource/Michael_J._Loux,Michael_J._Loux,Michael_J.,Michael_J.
http://dbpedia.org/resource/Michael_J._Sandel,Michael_J._Sandel,Michael_J.,Michael_J.
http://dbpedia.org/resource/Michael_J._Shapiro,Michael_J._Shapiro,Michael_J.,Michael_J.
http://dbpedia.org/resource/Miguel_de_Beistegui,Miguel_de_Beistegui,Miguel_de_,Miguel_de
http://dbpedia.org/resource/Miguel_de_Unamuno,Miguel_de_Unamuno,Miguel_de_,Miguel_de
